OD ID,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment
OD106,Normal,Female,Food Grains,23.22,2,3.322,46.44,18-Jul-23,11:40,Debit Card
OD107,Normal,Male,Food and beverages,21.12,3,3.443,63.36,18-Jul-23,19:31,Debit Card
OD108,Normal,Female,Food and beverages,34.23,1,42.312,34.23,18-Jul-23,11:36,Ewallet/Mo-Banking
OD109,Normal,Male,Food Grains,34.34,2,21.333,68.68,18-Jul-23,10:39,Ewallet/Mo-Banking
OD110,Normal,Female,Snacks and Fastfood,43.23,3,13.032,129.69,18-Jul-23,14:47,Cash
OD111,Member,Male,Frozen and poultry,23.22,2,22.413,46.44,18-Jul-23,19:07,Ewallet/Mo-Banking
OD112,Member,Female,Food Grains,32.33,1,13.43,32.33,18-Jul-23,19:48,Cash
OD113,Member,Male,Frozen and poultry,23.22,2,2.322,46.44,18-Jul-23,15:51,Ewallet/Mo-Banking
OD121,Normal,Female,Food Grains,34.34,2,21.333,68.68,18-Jul-23,,Cash
OD122,Normal,Female,Snacks and Fastfood,43.23,3,13.032,129.69,18-Jul-23,14:47,Cash
OD123,Member,Male,Frozen and poultry,23.22,2,22.413,46.44,18-Jul-23,19:07,Cash
OD124,Member,Male,Food Grains,32.33,1,13.43,32.33,18-Jul-23,19:48,Cash
OD125,Member,Female,Frozen and poultry,23.22,2,2.322,46.44,18-Jul-23,15:51,Cash
OD126,Normal,Male,Drinks/Beverage,22.33,2,2.233,44.66,18-Jul-23,11:43,Cash
OD127,Normal,Male,Oil and masalas,22.34,3,23.233,67.02,18-Jul-23,13:55,Debit Card
OD128,Normal,Female,Food Grains,23.04,1,2.403,23.04,18-Jul-23,20:26,Debit Card
OD129,Normal,Female,Frozen and poultry,34.22,1,33.11,34.22,19-Jul-23,,Ewallet/Mo-Banking
OD130,Normal,Female,Food Grains,23.22,2,3.322,46.44,19-Jul-23,11:40,Ewallet/Mo-Banking
OD131,Normal,Female,Food and beverages,21.12,3,3.443,63.36,19-Jul-23,19:31,Cash
OD132,Normal,Female,Food and beverages,34.23,1,42.312,34.23,19-Jul-23,11:36,Ewallet/Mo-Banking
OD133,Normal,Female,Food Grains,34.34,2,21.333,68.68,19-Jul-23,10:39,Cash
OD134,Normal,Female,Snacks and Fastfood,43.23,3,13.032,129.69,19-Jul-23,14:47,Cash
OD135,Normal,Male,Frozen and poultry,23.22,2,22.413,46.44,19-Jul-23,19:07,Cash
OD136,Normal,Male,Food Grains,32.33,1,13.43,32.33,19-Jul-23,19:48,Cash
OD137,Normal,Female,Frozen and poultry,23.22,2,2.322,46.44,19-Jul-23,15:51,Cash
OD138,Normal,Male,Drinks/Beverage,22.33,2,2.233,44.66,19-Jul-23,11:43,Cash
OD139,Member,Male,Oil and masalas,22.34,3,23.233,67.02,19-Jul-23,13:55,Cash
OD140,Normal,Female,Food Grains,23.04,1,2.403,23.04,19-Jul-23,20:26,Debit Card
OD141,Member,Female,Frozen and poultry,34.22,1,33.11,34.22,19-Jul-23,14:42,Ewallet/Mo-Banking
OD142,Member,Male,Food Grains,23.22,2,3.322,46.44,19-Jul-23,11:40,Cash
OD143,Normal,Female,Food and beverages,21.12,3,3.443,63.36,19-Jul-23,19:31,Cash
OD144,Normal,Female,Food and beverages,34.23,1,42.312,34.23,19-Jul-23,11:36,
OD145,Member,Male,Food Grains,34.34,2,21.333,68.68,19-Jul-23,10:39,Cash
OD146,Normal,Male,Snacks and Fastfood,43.23,3,13.032,129.69,19-Jul-23,14:47,Cash
OD147,Normal,Female,Frozen and poultry,23.22,2,22.413,46.44,19-Jul-23,19:07,Cash
OD148,Normal,Male,Food Grains,32.33,1,13.43,32.33,19-Jul-23,19:48,Cash
OD149,Normal,Male,Frozen and poultry,23.22,2,2.322,46.44,19-Jul-23,15:51,Debit Card
OD150,Normal,Female,Drinks/Beverage,22.33,2,2.233,44.66,19-Jul-23,11:43,Ewallet/Mo-Banking
OD151,Normal,Female,Oil and masalas,22.34,3,23.233,67.02,19-Jul-23,13:55,Cash
OD152,Normal,Male,Food Grains,23.04,1,2.403,23.04,19-Jul-23,20:26,Cash
OD153,Normal,Female,Frozen and poultry,34.22,1,33.11,34.22,19-Jul-23,14:42,Cash
OD154,Normal,Male,Food Grains,23.22,2,3.322,46.44,19-Jul-23,11:40,Cash
OD155,Normal,Female,Food and beverages,21.12,3,3.443,63.36,19-Jul-23,19:31,Cash
OD156,Normal,Female,Food and beverages,34.23,1,42.312,34.23,19-Jul-23,11:36,Cash
OD157,Normal,Male,Food Grains,34.34,2,21.333,68.68,19-Jul-23,10:39,Debit Card
OD158,Normal,Male,Snacks and Fastfood,43.23,3,13.032,129.69,19-Jul-23,14:47,Debit Card
OD159,Normal,Female,Frozen and poultry,23.22,2,22.413,46.44,19-Jul-23,19:07,Ewallet/Mo-Banking
OD160,Normal,Male,Food Grains,32.33,1,13.43,32.33,19-Jul-23,19:48,Ewallet/Mo-Banking
OD161,Normal,Male,Frozen and poultry,23.22,2,2.322,46.44,19-Jul-23,15:51,Cash
OD162,Normal,Female,Drinks/Beverage,22.33,2,2.233,44.66,19-Jul-23,11:43,Ewallet/Mo-Banking
OD163,Normal,Female,Oil and masalas,22.34,3,23.233,67.02,19-Jul-23,13:55,Cash
OD164,Normal,Male,Food Grains,23.04,1,2.403,23.04,19-Jul-23,20:26,Cash
OD165,Member,Female,Frozen and poultry,34.22,1,33.11,34.22,19-Jul-23,14:42,Ewallet/Mo-Banking
OD166,Normal,Male,Food Grains,23.22,2,3.322,46.44,19-Jul-23,11:40,Cash
OD167,Member,Female,Food and beverages,21.12,3,3.443,63.36,19-Jul-23,19:31,Cash
OD168,Member,Female,Food and beverages,34.23,1,42.312,34.23,19-Jul-23,11:36,Cash
OD169,Member,Male,Food Grains,34.34,2,21.333,68.68,19-Jul-23,10:39,Cash
OD170,Normal,Male,Snacks and Fastfood,43.23,3,13.032,129.69,19-Jul-23,14:47,Debit Card
OD171,Member,Female,Frozen and poultry,23.22,2,22.413,46.44,19-Jul-23,19:07,Ewallet/Mo-Banking
OD172,Normal,Male,Food Grains,32.33,1,13.43,32.33,19-Jul-23,19:48,Cash
OD173,Member,Male,Frozen and poultry,23.22,2,2.322,46.44,19-Jul-23,15:51,Cash
OD174,Normal,Female,Drinks/Beverage,22.33,2,2.233,44.66,19-Jul-23,11:43,Cash
OD175,Normal,Female,Oil and masalas,22.34,3,23.233,67.02,19-Jul-23,13:55,Cash
OD176,Normal,Male,Food Grains,23.04,1,2.403,23.04,19-Jul-23,20:26,Cash
OD177,Normal,Female,Frozen and poultry,34.22,1,33.11,34.22,19-Jul-23,14:42,Cash
OD178,Normal,Male,Food Grains,23.22,2,3.322,46.44,19-Jul-23,11:40,Debit Card
OD179,Normal,Female,Food and beverages,21.12,3,3.443,63.36,19-Jul-23,19:31,Debit Card
OD180,Normal,Female,Food and beverages,34.23,1,42.312,34.23,19-Jul-23,11:36,Ewallet/Mo-Banking
OD181,Normal,Male,Food Grains,34.34,2,21.333,68.68,19-Jul-23,10:39,Ewallet/Mo-Banking
OD182,Normal,Male,Snacks and Fastfood,43.23,3,13.032,129.69,19-Jul-23,14:47,Cash
OD183,Normal,Female,Frozen and poultry,23.22,2,22.413,46.44,19-Jul-23,19:07,Ewallet/Mo-Banking
OD184,Member,Female,Food Grains,32.33,1,13.43,32.33,19-Jul-23,19:48,Cash
OD185,Normal,Female,Frozen and poultry,23.22,2,2.322,46.44,19-Jul-23,15:51,Ewallet/Mo-Banking
OD186,Normal,Female,Drinks/Beverage,22.33,2,2.233,44.66,19-Jul-23,11:43,Cash
OD187,Normal,Female,Oil and masalas,22.34,3,23.233,67.02,19-Jul-23,13:55,Cash
OD188,Member,Female,Food Grains,23.04,1,2.403,23.04,19-Jul-23,20:26,Cash
OD189,Normal,Female,Frozen and poultry,34.22,1,33.11,34.22,19-Jul-23,14:42,Cash
OD190,Normal,Male,Food Grains,23.22,2,3.322,46.44,19-Jul-23,11:40,Cash
OD191,Normal,Female,Food and beverages,21.12,3,3.443,63.36,19-Jul-23,19:31,Debit Card
OD192,Normal,Female,Food and beverages,34.23,1,42.312,34.23,19-Jul-23,11:36,Ewallet/Mo-Banking
OD193,Normal,Female,Food Grains,34.34,2,21.333,68.68,19-Jul-23,10:39,Cash
OD194,Normal,Male,Snacks and Fastfood,43.23,3,13.032,129.69,19-Jul-23,14:47,Cash
OD195,Normal,Male,Frozen and poultry,23.22,2,22.413,46.44,19-Jul-23,19:07,Cash
OD196,Normal,Male,Food Grains,32.33,1,13.43,32.33,19-Jul-23,19:48,Cash
OD197,Normal,Male,Frozen and poultry,23.22,2,2.322,46.44,19-Jul-23,15:51,Cash
OD198,Normal,Male,Drinks/Beverage,22.33,2,2.233,44.66,19-Jul-23,11:43,Cash
OD199,Normal,Male,Oil and masalas,22.34,3,23.233,67.02,20-Jul-23,13:55,Debit Card
OD200,Member,Male,Food Grains,23.04,1,2.403,23.04,20-Jul-23,20:26,Debit Card
OD201,Normal,Female,Frozen and poultry,34.22,1,33.11,34.22,20-Jul-23,14:42,Ewallet/Mo-Banking
OD202,Normal,Male,Food Grains,23.22,2,3.322,46.44,20-Jul-23,11:40,Ewallet/Mo-Banking
OD203,Member,Female,Food and beverages,21.12,3,3.443,63.36,20-Jul-23,19:31,Cash
OD204,Member,Male,Food and beverages,34.23,1,42.312,34.23,20-Jul-23,11:36,Ewallet/Mo-Banking
OD205,Normal,Female,Food Grains,34.34,2,21.333,68.68,20-Jul-23,10:39,Cash
OD206,Normal,Male,Snacks and Fastfood,43.23,3,13.032,129.69,20-Jul-23,14:47,Cash
OD207,Normal,Male,Frozen and poultry,23.22,2,22.413,46.44,20-Jul-23,19:07,Cash
OD208,Normal,Male,Food Grains,32.33,1,13.43,32.33,20-Jul-23,19:48,Cash
OD209,Member,Male,Frozen and poultry,23.22,2,2.322,46.44,20-Jul-23,15:51,Cash
OD210,Normal,Male,Drinks/Beverage,22.33,2,2.233,44.66,20-Jul-23,11:43,Cash
OD211,Normal,Male,Oil and masalas,22.34,3,23.233,67.02,20-Jul-23,13:55,Cash
OD212,Member,Male,Food Grains,23.04,1,2.403,23.04,20-Jul-23,20:26,Debit Card
OD213,Normal,Female,Frozen and poultry,34.22,1,33.11,34.22,20-Jul-23,14:42,Ewallet/Mo-Banking
OD214,Normal,Male,Food Grains,23.22,2,3.322,46.44,20-Jul-23,11:40,Cash
OD215,Normal,Female,Food and beverages,21.12,3,3.443,63.36,20-Jul-23,19:31,Cash
OD216,Normal,Male,Food and beverages,34.23,1,42.312,34.23,20-Jul-23,11:36,
OD217,Member,Male,Food Grains,34.34,2,21.333,68.68,20-Jul-23,10:39,Cash
OD218,Normal,Male,Snacks and Fastfood,43.23,3,13.032,129.69,20-Jul-23,14:47,Cash
OD219,Normal,Female,Frozen and poultry,23.22,2,22.413,46.44,20-Jul-23,19:07,Cash
OD220,Member,Female,Food Grains,32.33,1,13.43,32.33,20-Jul-23,19:48,Cash
OD221,Normal,Male,Frozen and poultry,23.22,2,2.322,46.44,20-Jul-23,15:51,Debit Card
OD222,Normal,Female,Drinks/Beverage,22.33,2,2.233,44.66,20-Jul-23,11:43,Ewallet/Mo-Banking
OD223,Normal,Male,Oil and masalas,22.34,3,23.233,67.02,20-Jul-23,13:55,Cash
OD224,Normal,Male,Food Grains,23.04,1,2.403,23.04,20-Jul-23,20:26,Cash
OD225,Normal,Female,Frozen and poultry,34.22,1,33.11,34.22,20-Jul-23,14:42,Cash
OD226,Normal,Female,Food Grains,23.22,2,3.322,46.44,20-Jul-23,11:40,Cash
OD227,Normal,Female,Food and beverages,21.12,3,3.443,63.36,20-Jul-23,19:31,Cash
OD228,Normal,Male,Food and beverages,34.23,1,42.312,34.23,20-Jul-23,11:36,Cash
OD229,Normal,Male,Food Grains,34.34,2,21.333,68.68,20-Jul-23,10:39,Debit Card
OD230,Member,Male,Snacks and Fastfood,43.23,3,13.032,129.69,20-Jul-23,14:47,Debit Card
OD231,Member,Female,Frozen and poultry,23.22,2,22.413,46.44,20-Jul-23,19:07,Ewallet/Mo-Banking
OD232,Member,Female,Food Grains,32.33,1,13.43,32.33,20-Jul-23,19:48,Ewallet/Mo-Banking
OD233,Normal,Male,Frozen and poultry,23.22,2,2.322,46.44,20-Jul-23,15:51,Cash
OD234,Normal,Female,Drinks/Beverage,22.33,2,2.233,44.66,20-Jul-23,11:43,Ewallet/Mo-Banking
OD235,Normal,Male,Oil and masalas,22.34,3,23.233,67.02,20-Jul-23,13:55,Cash
OD236,Normal,Male,Food Grains,23.04,1,2.403,23.04,20-Jul-23,20:26,Cash
OD237,Normal,Female,Frozen and poultry,34.22,1,33.11,34.22,20-Jul-23,14:42,Ewallet/Mo-Banking
OD238,Normal,Female,Food Grains,23.22,2,3.322,46.44,20-Jul-23,11:40,Cash
OD239,Normal,Female,Food and beverages,21.12,3,3.443,63.36,20-Jul-23,19:31,Cash
OD240,Normal,Male,Food and beverages,34.23,1,42.312,34.23,20-Jul-23,11:36,Cash
OD241,Member,Female,Food Grains,34.34,2,21.333,68.68,20-Jul-23,10:39,Cash
OD242,Member,Male,Snacks and Fastfood,43.23,3,13.032,129.69,20-Jul-23,14:47,Debit Card
OD243,Member,Female,Frozen and poultry,23.22,2,22.413,46.44,20-Jul-23,19:07,Ewallet/Mo-Banking
OD244,Normal,Female,Food Grains,32.33,1,13.43,32.33,20-Jul-23,19:48,Cash
OD245,Member,Female,Frozen and poultry,23.22,2,2.322,46.44,20-Jul-23,15:51,Cash
OD246,Normal,Female,Drinks/Beverage,22.33,2,2.233,44.66,20-Jul-23,11:43,Cash
OD247,Normal,Female,Oil and masalas,22.34,3,23.233,67.02,20-Jul-23,13:55,Cash
OD248,Normal,Female,Food Grains,23.04,1,2.403,23.04,20-Jul-23,20:26,Cash
OD249,Normal,Female,Frozen and poultry,34.22,1,33.11,34.22,20-Jul-23,14:42,Cash
OD250,Normal,Female,Food Grains,23.22,2,3.322,46.44,20-Jul-23,11:40,Debit Card
OD251,Normal,Female,Food and beverages,21.12,3,3.443,63.36,20-Jul-23,19:31,Debit Card
OD252,Normal,Female,Food and beverages,34.23,1,42.312,34.23,20-Jul-23,11:36,Ewallet/Mo-Banking
OD253,Normal,Female,Food Grains,34.34,2,21.333,68.68,20-Jul-23,10:39,Ewallet/Mo-Banking
OD254,Normal,Male,Snacks and Fastfood,43.23,3,13.032,129.69,20-Jul-23,14:47,Cash
OD255,Normal,Female,Frozen and poultry,23.22,2,22.413,46.44,20-Jul-23,19:07,Ewallet/Mo-Banking
OD256,Normal,Female,Food Grains,32.33,1,13.43,32.33,20-Jul-23,19:48,Cash
OD257,Member,Female,Frozen and poultry,23.22,2,2.322,46.44,20-Jul-23,15:51,Ewallet/Mo-Banking
OD258,Member,Female,Drinks/Beverage,22.33,2,2.233,44.66,20-Jul-23,11:43,Cash
OD259,Normal,Female,Oil and masalas,22.34,3,23.233,67.02,20-Jul-23,13:55,Cash
OD260,Normal,Male,Food Grains,23.04,1,2.403,23.04,20-Jul-23,20:26,Cash
OD261,Normal,Female,Food Grains,34.34,2,21.333,68.68,21-Jul-23,10:39,Cash
OD262,Normal,Male,Snacks and Fastfood,43.23,3,13.032,129.69,21-Jul-23,14:47,Cash
OD263,Normal,Male,Frozen and poultry,23.22,2,22.413,46.44,21-Jul-23,19:07,Debit Card
OD264,Normal,Male,Food Grains,32.33,1,13.43,32.33,21-Jul-23,19:48,Ewallet/Mo-Banking
OD265,Normal,Male,Frozen and poultry,23.22,2,2.322,46.44,21-Jul-23,15:51,Cash
OD266,Normal,Male,Drinks/Beverage,22.33,2,2.233,44.66,21-Jul-23,11:43,Cash
OD267,Normal,Male,Oil and masalas,22.34,3,23.233,67.02,21-Jul-23,13:55,Cash
OD268,Normal,Male,Food Grains,23.04,1,2.403,23.04,21-Jul-23,20:26,Cash
OD269,Normal,Male,Frozen and poultry,34.22,1,33.11,34.22,21-Jul-23,14:42,Cash
OD270,Member,Female,Food Grains,23.22,2,3.322,46.44,21-Jul-23,11:40,Cash
OD271,Member,Male,Food and beverages,21.12,3,3.443,63.36,21-Jul-23,19:31,Debit Card
OD272,Normal,Female,Food and beverages,34.23,1,42.312,34.23,21-Jul-23,11:36,Debit Card
OD273,Normal,Female,Food Grains,34.34,2,21.333,68.68,21-Jul-23,10:39,Ewallet/Mo-Banking
OD274,Member,Male,Snacks and Fastfood,43.23,3,13.032,129.69,21-Jul-23,14:47,Ewallet/Mo-Banking
OD275,Normal,Male,Frozen and poultry,23.22,2,22.413,46.44,21-Jul-23,19:07,Cash
OD276,Normal,Male,Food Grains,32.33,1,13.43,32.33,21-Jul-23,19:48,Ewallet/Mo-Banking
OD277,Normal,Male,Frozen and poultry,23.22,2,2.322,46.44,21-Jul-23,15:51,Cash
OD278,Normal,Male,Drinks/Beverage,22.33,2,2.233,44.66,21-Jul-23,11:43,Cash
OD279,Normal,Male,Oil and masalas,22.34,3,23.233,67.02,21-Jul-23,13:55,Cash
OD280,Normal,Male,Food Grains,23.04,1,2.403,23.04,21-Jul-23,20:26,Cash
OD281,Normal,Male,Frozen and poultry,34.22,1,33.11,34.22,21-Jul-23,14:42,Cash
OD282,Normal,Female,Food Grains,23.22,2,3.322,46.44,21-Jul-23,11:40,Cash
OD283,Normal,Male,Food and beverages,21.12,3,3.443,63.36,21-Jul-23,19:31,Cash
OD284,Normal,Female,Food and beverages,34.23,1,42.312,34.23,21-Jul-23,11:36,Debit Card
OD285,Normal,Female,Food Grains,34.34,2,21.333,68.68,21-Jul-23,10:39,Ewallet/Mo-Banking
OD286,Normal,Male,Snacks and Fastfood,43.23,3,13.032,129.69,21-Jul-23,14:47,Cash
OD287,Normal,Male,Frozen and poultry,23.22,2,22.413,46.44,21-Jul-23,19:07,Cash
OD288,Member,Male,Food Grains,32.33,1,13.43,32.33,21-Jul-23,19:48,
